,question_id,question,relevant_articles,question_length,num_articles,relevant_titles
637,c5a97d91204ba18b8d4165462d8e8113,Chạy xe đạp mà đuổi nhau thì phạt bao nhiêu tiền?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '8'}]",11,1,['100/2019/nđ-cp']
1159,f4974c7eb1a848b408f91ec09eb042cf,Người cao tuổi có được làm bảo vệ không?,"[{'law_id': '06/2013/nđ-cp', 'article_id': '6'}]",9,1,['06/2013/nđ-cp']
1747,a5787c15e3cbf88dc7085ebfb00eb2d1,Triển khai hoạt động khu công nghệ thông tin tập trung không đúng mục tiêu bị phạt bao nhiêu tiền?,"[{'law_id': '15/2020/nđ-cp', 'article_id': '74'}]",20,1,['15/2020/nđ-cp']
2682,b79fe1dbe018fbc372bd932ae94d777f,Phạm tội nhiều nơi thì tòa án nào có thẩm quyền giải quyết?,"[{'law_id': '101/2015/qh13', 'article_id': '269'}]",13,1,['101/2015/qh13']
2340,ff81167a84a261b27bdde9ed3fbec012,Gắn biển số trên nóc ô tô được không?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '16'}]",9,1,['100/2019/nđ-cp']
2053,78833b8bed38d2f60880158c40e01c13,Chạy xe máy tốc độ thấp không đi bên phải gây cản trở giao thông bị phạt thế nào?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",19,1,['100/2019/nđ-cp']
2943,d82a3c0e6f65f33096eb86b05a09209b,Xử lý hành vi vi phạm quy định về nội dung báo cáo hoạt động hóa chất được quy định như thế nào?,"[{'law_id': '71/2019/nđ-cp', 'article_id': '28'}]",23,1,['71/2019/nđ-cp']
3001,af7775e06e60612bf989891eb6cc6659,Quản lý kết quả xếp hạng ngân hàng được quy định như thế nào?,"[{'law_id': '52/2018/tt-nhnn', 'article_id': '23'}]",14,1,['52/2018/tt-nhnn']
221,f4a44bdf87f5f1f542c6b882a135fd07,Đi du học 2 năm có bị xóa tên trong sổ đăng ký tạm trú không?,"[{'law_id': '35/2014/tt-bca', 'article_id': '19'}]",16,1,['35/2014/tt-bca']
543,fbf6255730b277a3fbdaac0c5ece843c,"Việc đình chỉ tạm thời hiệu lực Mã số kinh doanh tạm nhập, tái xuất được quy định như thế nào?","[{'law_id': '69/2018/nđ-cp', 'article_id': '29'}]",21,1,['69/2018/nđ-cp']
2016,d8e5448609c75a8c04f493aee4ebe9c3,"Xếp lương đối với thành viên chuyên trách Hội đồng quản trị, Tổng giám đốc, Phó Tổng giám đốc, Kế toán trưởng trong doanh nghiệp nhà nước được quy định như thế nào?","[{'law_id': '31/2016/tt-blđtbxh', 'article_id': '6'}]",33,1,['31/2016/tt-blđtbxh']
2288,c05b44239470b97b70e030ac35c4d9c0,Chủ đầu tư yêu cầu làm rõ bằng cấp của nhân sự bên dự thầu có hợp lệ không?,"[{'law_id': '63/2014/nđ-cp', 'article_id': '15'}, {'law_id': '63/2014/nđ-cp', 'article_id': '16'}]",19,2,"['63/2014/nđ-cp', '63/2014/nđ-cp']"
1483,ccd9ff74f5a6ae8ee2b32fd27c5c425b,"Có được thay thế chứng minh nhân dân bằng giấy phép lái xe khi vào nhà nghỉ, khách sạn không?","[{'law_id': '96/2016/nđ-cp', 'article_id': '44'}]",20,1,['96/2016/nđ-cp']
678,34cc2b0e4b6cc4951c304b22a9404ee9,"Thời gian công tác về phòng cháy, chữa cháy và cứu nạn, cứu hộ là bao lâu để đáp ứng tiêu chuẩn làm cán bộ kiểm tra?","[{'law_id': '141/2020/tt-bca', 'article_id': '4'}]",27,1,['141/2020/tt-bca']
1915,b67c7c67fee33f94d073e09549454f95,"Cơ sở dữ liệu về vụ việc, vướng mắc pháp lý dùng để tư vấn cho DN nhỏ và vừa bao gồm những gì?","[{'law_id': '55/2019/nđ-cp', 'article_id': '6'}]",24,1,['55/2019/nđ-cp']
1902,7beb5e6bbf98a2a8795fed569121728a,"Bảo đảm thực hiện nghĩa vụ bằng nhiều biện pháp bảo đảm, bằng nhiều tài sản được quy định như thế nào?","[{'law_id': '21/2021/nđ-cp', 'article_id': '5'}]",22,1,['21/2021/nđ-cp']
2819,1a6404b7ee86e9178fc6f5e81895e705,Có phải bồi thường khi gây tai nạn giao thông mà không phải lỗi của mình?,"[{'law_id': '91/2015/qh13', 'article_id': '584'}, {'law_id': '91/2015/qh13', 'article_id': '585'}]",16,2,"['91/2015/qh13', '91/2015/qh13']"
2037,98cdf8e861de1b506f398555a2aad272,"Trình tự, thủ tục cấp lại Giấy phép kinh doanh vận tải khi thay đổi nội dung giấy phép được quy định như thế nào?","[{'law_id': '10/2020/nđ-cp', 'article_id': '19'}]",25,1,['10/2020/nđ-cp']
2996,b196925f23d876b583c0dc9b7a3624e6,Mức xử phạt khi dừng xe ô tô tại chỗ dành riêng cho xe chữa cháy lấy nước,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",18,1,['100/2019/nđ-cp']
2120,85a3c2604c250604ccca61e408ca1602,Điều khiển xe máy không có hệ thống hãm bị phạt bao nhiêu theo nghị định 100/2019/NĐ-CP?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '17'}]",17,1,['100/2019/nđ-cp']
1783,2e0bcb877ba9cb35fc5c52aee19253c3,Vùng biển A3 là gì?,"[{'law_id': '05/2019/tt-bgtvt', 'article_id': '2'}]",5,1,['05/2019/tt-bgtvt']
2077,e6d18a0365b648e5115ac22a6c5e5de4,Đỗ xe ô tô không sát mép đường phía bên phải theo chiều đi ở nơi đường có lề đường hẹp sẽ bị xử phạt bao nhiêu?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",27,1,['100/2019/nđ-cp']
272,cc24cf1fffc852f58ef76ba35e0e224e,Mật độ tập luyện môn bóng ném được quy định như thế nào?,"[{'law_id': '27/2018/tt-bvhttdl', 'article_id': '5'}]",13,1,['27/2018/tt-bvhttdl']
521,10ffc43346512acdd6abcbb1d06d8e0b,Cán bộ được cử đi công tác có được hưởng mức khoán công tác phí hàng tháng không?,"[{'law_id': '40/2017/tt-btc', 'article_id': '8'}]",18,1,['40/2017/tt-btc']
522,a8f3b8bfd7f61ced1a48aefd0d3a058e,Thủ tục đăng ký niêm yết cổ phiếu được quy định như thế nào?,"[{'law_id': '155/2020/nđ-cp', 'article_id': '111'}]",14,1,['155/2020/nđ-cp']
1730,f603fd668c2a552b25882b7e304f5242,"Chế độ quản lý, sao chụp báo cáo công tác thanh tra, giải quyết khiếu nại, tố cáo và phòng, chống tham nhũng được quy định như thế nào?","[{'law_id': '03/2013/tt-ttcp', 'article_id': '11'}]",29,1,['03/2013/tt-ttcp']
679,52f4de5087a876a4cdae16ebfb2e834c,Nhà ở của hộ nghèo bị sập do thiên tai có được hỗ trợ chi phí không?,"[{'law_id': '20/2021/nđ-cp', 'article_id': '15'}]",17,1,['20/2021/nđ-cp']
1837,323cebc6a6c8ed908e34906830be348a,Quy định về thời gian thông báo kết quả xét nghiệm HIV dương tính,"[{'law_id': '02/2020/tt-byt', 'article_id': '4'}]",14,1,['02/2020/tt-byt']
350,9883b4438dc4a426ff905123b0de0a1d,"Mức phạt khi sử dụng trái phép đất của đường bộ ở đoạn đường ngoài đô thị làm nơi sửa chữa phương tiện, máy móc, thiết bị","[{'law_id': '100/2019/nđ-cp', 'article_id': '12'}]",27,1,['100/2019/nđ-cp']
2428,f4010aadce50b8a9f3b5a9f2515a7cbe,Cơ sở giáo dục ban hành văn bản trái thẩm quyền bị phạt bao nhiêu tiền?,"[{'law_id': '04/2021/nđ-cp', 'article_id': '7'}]",16,1,['04/2021/nđ-cp']
2232,b79a0d2ddf6f7d400d36ae63200fa1a3,"Rà soát, cập nhật, bổ sung nhu cầu đào tạo nghề cho lao động nông thôn được quy định như thế nào?","[{'law_id': '43/2017/tt-btc', 'article_id': '14'}]",22,1,['43/2017/tt-btc']
2470,70839223b23502723a28cbef17b51b19,Đào tạo lái xe có phải công khai học phí không?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '37'}]",11,1,['100/2019/nđ-cp']
651,67368578eadbedb25c03c68a3185494e,Doanh nghiệp khởi nghiệp sáng tạo là doanh nghiệp như thế nào?,"[{'law_id': '94/2020/nđ-cp', 'article_id': '3'}]",12,1,['94/2020/nđ-cp']
1965,6e0da8dc8fe7c4f4cf6d5461b0f06d1d,Quy định về trình tự thông báo kết quả xét nghiệm HIV dương tính đối với người đến xét nghiệm HIV tại cơ sở y tế khác,"[{'law_id': '02/2020/tt-byt', 'article_id': '9'}]",27,1,['02/2020/tt-byt']
859,ae103806d71c9b0ef57533bd3c9dad14,Việc đăng tải Thông cáo báo chí về văn bản quy phạm pháp luật được quy định như thế nào?,"[{'law_id': '12/2013/tt-btp', 'article_id': '5'}]",20,1,['12/2013/tt-btp']
2761,9acdf19ec4fac723bfc27c65485713dc,"Bảo trì, bảo dưỡng và nâng cấp cơ sở dữ liệu trợ giúp xã hội và giảm nghèo được quy định như thế nào?","[{'law_id': '11/2019/tt-blđtbxh', 'article_id': '9'}]",24,1,['11/2019/tt-blđtbxh']
1091,d390746245adfe33c6bf6f59b6d9259f,Nguyên tắc thực hiện dân chủ trong hoạt động của cơ sở khám chữa bệnh công lập gồm những gì?,"[{'law_id': '05/2021/tt-byt', 'article_id': '3'}]",20,1,['05/2021/tt-byt']
1263,f7ea32f5422a12f57424066c45776791,"Mức phạt khi không áp dụng đầy đủ HACCP đối với cơ sở sản xuất, chế biến thực phẩm bắt buộc phải thiết lập được quy định như thế nào?","[{'law_id': '115/2018/nđ-cp', 'article_id': '9'}]",30,1,['115/2018/nđ-cp']
1102,cef81a5e66703b1bf805fb9dfd569d12,Mức phạt khi điều khiển xe ô tô tránh xe khác không đúng quy định gây tai nạn giao thông được quy định như thế nào?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",26,1,['100/2019/nđ-cp']
1602,c045c94f034bc42912bb8faafcdd25e2,Thế nào là hình thức kế toán theo quy định cũ?,"[{'law_id': '03/2003/qh11', 'article_id': '4'}]",11,1,['03/2003/qh11']
168,6176d2dac04c4fc6c07c525d4844ea4c,Sự khác biệt giữa thư viện công lập và thư viện ngoài công lập được quy định như thế nào?,"[{'law_id': '46/2019/qh14', 'article_id': '9'}]",20,1,['46/2019/qh14']
2670,11d1ab4e72284b51e88423ab72273874,Thẩm quyền xử phạt của Đội trưởng của chiến sĩ Bộ đội biên phòng trong lĩnh vực hóa chất được quy định như thế nào?,"[{'law_id': '71/2019/nđ-cp', 'article_id': '63'}]",25,1,['71/2019/nđ-cp']
1074,09d3ddd919d24b4bdee22aef4a85ed39,Bán cổ phần doanh nghiệp nhà nước tái cơ cấu lần đầu được quy định như thế nào?,"[{'law_id': '126/2017/nđ-cp', 'article_id': '42'}, {'law_id': '69/2018/tt-btc', 'article_id': '7'}]",18,2,"['126/2017/nđ-cp', '69/2018/tt-btc']"
3176,6ae426a23421fe1098c40a066efbb77e,"Việc đóng cảng hàng không, sân bay bao gồm các loại hình nào?","[{'law_id': '05/2021/nđ-cp', 'article_id': '41'}]",13,1,['05/2021/nđ-cp']
949,a156a22e5949614194c77de4b9fbb0e5,Hành vi mua dâm bị xử phạt bao nhiêu?,"[{'law_id': '167/2013/nđ-cp', 'article_id': '22'}]",9,1,['167/2013/nđ-cp']
3043,f9915385ad5bbe129c036c986fa6411c,"Tổng hợp, phân tích hiện trạng các công trình khai thác, sử dụng phục vụ xây dựng quy trình vận hành liên hồ chứa được quy định như thế nào?","[{'law_id': '65/2017/tt-btnmt', 'article_id': '31'}]",30,1,['65/2017/tt-btnmt']
929,05cb1921f39ff14b3bed05e0cc0f96e7,"Nội dung chương trình bồi dưỡng nghiệp vụ sư phạm cho nhà giáo dạy trình độ trung cấp, dạy trình độ cao đẳng được quy định như thế nào?","[{'law_id': '28/2018/tt-blđtbxh', 'article_id': '2'}]",29,1,['28/2018/tt-blđtbxh']
2342,e382a3c962b8e9b26f9ccdcee33431e8,Hoạt động khắc phục hậu quả bom mìn vật nổ sau chiến tranh là gì?,"[{'law_id': '18/2019/nđ-cp', 'article_id': '3'}]",15,1,['18/2019/nđ-cp']
1017,758ff1b8bbf520a770cea7dc1a5cb518,Mức phạt khi điều khiển xe máy không giữ khoảng cách an toàn giữa hai xe gây tai nạn giao thông,"[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",21,1,['100/2019/nđ-cp']
1412,56df41009beac4e97d8d65e30c557a80,Quy trình xây dựng chỉ tiêu cử tuyển theo quy định mới được quy định như thế nào?,"[{'law_id': '141/2020/nđ-cp', 'article_id': '7'}]",18,1,['141/2020/nđ-cp']
2383,2d11a5d8d49ee73b02d751230f18ee8f,"Hoạt động kinh doanh của doanh nghiệp, hợp tác xã sau khi có quyết định mở thủ tục phá sản được quy định ra sao?","[{'law_id': '51/2014/qh13', 'article_id': '47'}, {'law_id': '51/2014/qh13', 'article_id': '48'}]",25,2,"['51/2014/qh13', '51/2014/qh13']"
219,48317d3b298d2327e5eea5428638f39b,Một cuộc đua chó có ít nhất bao nhiêu trọng tài?,"[{'law_id': '15/2018/tt-bvhttdl', 'article_id': '5'}]",11,1,['15/2018/tt-bvhttdl']
367,235270a7e17fb6dddd4d4d5c3a6fbec1,Quy định về bồi thường bệnh nghề nghiệp khi bị suy giảm khả năng lao động 4% ?,"[{'law_id': '04/2015/tt-blđtbxh', 'article_id': '3'}]",18,1,['04/2015/tt-blđtbxh']
1956,46e737f0135176d52913a3a73d37d7d0,Hỏi cung bị can tại cơ sở giam giữ bắt buộc phải ghi âm có đúng không?,"[{'law_id': '101/2015/qh13', 'article_id': '183'}]",17,1,['101/2015/qh13']
2457,91e03cb9d6fdef3019a89351348e25e9,"Phương thức thanh toán lãi, gốc trái phiếu Chính phủ được quy định như thế nào?","[{'law_id': '95/2018/nđ-cp', 'article_id': '14'}]",16,1,['95/2018/nđ-cp']
2429,c28084829e8f78766dcab9f49861bb2c,Không thực hiện việc ký hợp đồng đào tạo với người học lái xe có bị phạt không?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '37'}]",18,1,['100/2019/nđ-cp']
2282,9562170f085d368a020c058dbb06d9aa,Sinh viên sư phạm được nhà nước hỗ trợ bao nhiêu một tháng để chi trả chi phí sinh hoạt?,"[{'law_id': '116/2020/nđ-cp', 'article_id': '4'}]",20,1,['116/2020/nđ-cp']
2896,8884ca0293acc6f2e7960d301884f16f,"Rà soát chức năng, nhiệm vụ công ty nông, lâm nghiệp được quy định như thế nào?","[{'law_id': '118/2014/nđ-cp', 'article_id': '12'}]",17,1,['118/2014/nđ-cp']
351,bd89b1a43e0c19bfa6f4b10a1eb97f21,Thực hiện dân chủ trong hoạt động của cơ sở giáo dục đáp ứng những yêu cầu nào?,"[{'law_id': '11/2020/tt-bgdđt', 'article_id': '3'}]",18,1,['11/2020/tt-bgdđt']
1537,25c03a594c04136669908672a51253f2,"HS, SV có trách nhiệm gì trong việc xây dựng môi trường giáo dục an toàn?","[{'law_id': '38/2019/tt-blđtbxh', 'article_id': '13'}]",16,1,['38/2019/tt-blđtbxh']
2256,c9aca3f57e1429637567248e8826101a,Thuê tài sản hoạt động của Cục Đăng kiểm Việt Nam được quy định như thế nào?,"[{'law_id': '49/2018/tt-btc', 'article_id': '6'}]",17,1,['49/2018/tt-btc']
2028,a8645468b8af3e73ac94267559d7bdd5,Thay đổi tổ chức chủ trì dự án Chương trình phát triển tài sản trí tuệ trong trường hợp nào?,"[{'law_id': '17/2017/tt-bkhcn', 'article_id': '27'}]",20,1,['17/2017/tt-bkhcn']
490,6ffdccb36aeb3f4d828fa55438cfe6a9,Thủ tục hủy tài khoản truy cập Cổng thông tin thủ tục biên phòng điện tử khi người làm thủ tục không sử dụng tài khoản được quy định như thế nào?,"[{'law_id': '15/2019/qđ-ttg', 'article_id': '8'}]",32,1,['15/2019/qđ-ttg']
2864,435e6ff155600a570617c477b5716733,"Điều khiển xe máy sử dụng đèn chiếu xa trong đô thị, khu đông dân cư bị xử phạt bao nhiêu?","[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",21,1,['100/2019/nđ-cp']
2527,b3b0ee7ce4ff58e6527d89335cdee51c,Thế nào là vận tải trung chuyển hành khách?,"[{'law_id': '10/2020/nđ-cp', 'article_id': '3'}]",9,1,['10/2020/nđ-cp']
498,89617010b1232eab04ae3021a3fa0df9,Cơ chế ngắt mạch thị trường trong giao dịch cổ phiếu niêm yết do cơ quan nào quyết định?,"[{'law_id': '120/2020/tt-btc', 'article_id': '5'}]",19,1,['120/2020/tt-btc']
1866,2150352b55f05165e01f35747f6ff925,Yêu cầu đối với cuộc gọi điện thoại quảng cáo như thế nào?,"[{'law_id': '91/2020/nđ-cp', 'article_id': '21'}]",13,1,['91/2020/nđ-cp']
210,5dd167d18ee3ccd77cf7c4c58b1f0219,Điều kiện được nhân giấy khen của Thủ trưởng Bộ chỉ huy quân sự cấp huyện về Dân quân tự vệ được quy định như thế nào?,"[{'law_id': '57/2020/tt-bqp', 'article_id': '16'}]",27,1,['57/2020/tt-bqp']
1509,597984f04398656d62b197f24d336628,Hoạt động khuyến mại theo phương thức đa cấp được quy định như thế nào?,"[{'law_id': '81/2018/nđ-cp', 'article_id': '4'}]",15,1,['81/2018/nđ-cp']
2861,168dc6cad82af85378b9ec454844b4d0,Khí thiên nhiên hóa lỏng là gì?,"[{'law_id': '87/2018/nđ-cp', 'article_id': '3'}]",7,1,['87/2018/nđ-cp']
650,23ffe4b41a113304343cd3bba84fa1c7,Ủy quyền lại có cần sự đồng ý của bên ủy quyền không?,"[{'law_id': '91/2015/qh13', 'article_id': '564'}]",13,1,['91/2015/qh13']
227,8931309295c2d556032484b88c930a50,Mức phạt nếu thực hiện tuyển sinh không đúng đề án tuyển sinh đã công bố là bao nhiêu tiền?,"[{'law_id': '04/2021/nđ-cp', 'article_id': '8'}]",20,1,['04/2021/nđ-cp']
365,4f136d106970b128cce36c1ad7bbdfb7,Mức phạt khi quay người về phía sau để điều khiển xe máy,"[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",13,1,['100/2019/nđ-cp']
2578,c920660184fac8714794812fe3917109,Trách nhiệm trong công tác giám sát dự án đầu tư của chủ đầu tư trong Bộ Quốc phòng được quy định như thế nào?,"[{'law_id': '99/2017/tt-bqp', 'article_id': '19'}]",25,1,['99/2017/tt-bqp']
276,9249b71d8fed4421285a01b03555646c,Thời hạn gửi báo cáo thống kê ngành dự trữ quốc gia được quy định như thế nào?,"[{'law_id': '130/2018/tt-btc', 'article_id': '3'}]",18,1,['130/2018/tt-btc']
2127,dbd0b7b9a235ebb9012dbbbb728f9196,"Sản xuất, kinh doanh và nhập khẩu thiết bị phát tín hiệu của xe được quyền ưu tiên được quy định như thế nào?","[{'law_id': '109/2009/nđ-cp', 'article_id': '16'}]",24,1,['109/2009/nđ-cp']
839,6c131ff4b5f5b57cc28191020d748c15,Cấp phát kinh phí hàng năm của Quỹ Trợ giúp pháp lý Việt Nam được quy định như thế nào?,"[{'law_id': '174/2012/tt-btc', 'article_id': '6'}]",20,1,['174/2012/tt-btc']
765,e947b49490ba344e88bfd10410606d6d,Những đối tượng nào được miễn học môn học Giáo dục quốc phòng an ninh?,"[{'law_id': '40/2012/tt-bgdđt', 'article_id': '6'}]",15,1,['40/2012/tt-bgdđt']
1094,22cb245e7b06e6dffd3b3875f88b16cc,Những ngày không nghỉ phép thì viên chức có được thanh toán tiền không?,"[{'law_id': '58/2010/qh12', 'article_id': '13'}]",14,1,['58/2010/qh12']
1286,42907245dca245ef5a29a62460f3c261,"Kiểm tra, thi, xét công nhận tốt nghiệp đối với đào tạo từ xa trình độ cao đẳng được quy định như thế nào?","[{'law_id': '33/2018/tt-blđtbxh', 'article_id': '9'}]",24,1,['33/2018/tt-blđtbxh']
407,25fb0eb385e3fedf94c16cfb4dd29e48,"Mức phạt khi dựng rạp, lều quán, công trình khác trái phép trong khu vực đô thị tại hầm đường bộ bị phạt bao nhiêu?","[{'law_id': '100/2019/nđ-cp', 'article_id': '12'}]",25,1,['100/2019/nđ-cp']
2447,9d059c0ccf8f10ad4d537e1eedae5569,Vận dụng hệ thống tài khoản kế toán nghiệp vụ thi hành án dân sự được quy định như thế nào?,"[{'law_id': '78/2020/tt-btc', 'article_id': '10'}]",21,1,['78/2020/tt-btc']
1061,060d5ce2d374afc9a0e70f5e6e554967,NLĐ được hỗ trợ kinh phí phục hồi chức năng lao động như thế nào?,"[{'law_id': '88/2020/nđ-cp', 'article_id': '25'}]",15,1,['88/2020/nđ-cp']
2705,54cf2a48c2cfd5eacbffbfb74d108c67,Hưởng di sản thừa kế có phải trả nợ thay cho người để di sản không?,"[{'law_id': '91/2015/qh13', 'article_id': '615'}]",16,1,['91/2015/qh13']
2471,1b4d5c4bddc50aa1dc1ea7dbd8b9c712,Hồ sơ đề nghị công nhận tổ chức đủ điều kiện tổ chức thực hiện sát hạch cấp CCHN kiến trúc được quy định thế nào?,"[{'law_id': '85/2020/nđ-cp', 'article_id': '26'}]",26,1,['85/2020/nđ-cp']
1299,9cbd5fd7a4d75c93730883706f292270,Mức phạt khi điều khiển xe ô tô lùi xe ở khu vực cấm dừng là bao nhiêu?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",18,1,['100/2019/nđ-cp']
2564,c3b32d15f81e10ea06bdb6ccea0fd0b9,Trách nhiệm xem xét kỷ luật đối với người đứng đầu khi xảy ra tham nhũng được quy định như thế nào?,"[{'law_id': '59/2019/nđ-cp', 'article_id': '79'}]",22,1,['59/2019/nđ-cp']
1377,d14475ae5ebe4b7219f14c9ef6589784,Phó chỉ huy trưởng Ban chỉ huy quân sự xã được hưởng chế độ phụ cấp đặc thù như thế nào?,"[{'law_id': '72/2020/nđ-cp', 'article_id': '9'}]",21,1,['72/2020/nđ-cp']
7,240939c7783a252ad86868d87bc8df66,"Thừa phát lại được tống đạt những giấy tờ, hồ sơ, tài liệu nào?","[{'law_id': '08/2020/nđ-cp', 'article_id': '32'}]",14,1,['08/2020/nđ-cp']
844,e16c7246b74d8ad10c08b562bb73c325,Lựa chọn thanh lọc những tài nguyên thông tin có hình thức như thế nào?,"[{'law_id': '02/2020/tt-bvhttdl', 'article_id': '19'}]",15,1,['02/2020/tt-bvhttdl']
2123,9df24ee3030c1beaea271c5a019c2222,Thủ tục cấp chứng chỉ hành nghề đo đạc và bản đồ được quy định như thế nào?,"[{'law_id': '27/2019/nđ-cp', 'article_id': '47'}]",18,1,['27/2019/nđ-cp']
2594,63f7eeacc88ca87da993e09d7a55aba0,Nhiệm vụ của Bộ Nội vụ về thực hiện cơ chế một cửa trong giải quyết thủ tục hành chính được quy định như thế nào?,"[{'law_id': '61/2018/nđ-cp', 'article_id': '34'}]",26,1,['61/2018/nđ-cp']
415,b3f0038799fd9cd2152d13acdd63e467,Đơn vị báo cáo và đơn vị nhận báo cáo thống kê ngành tài chính được quy định như thế nào?,"[{'law_id': '02/2019/tt-btc', 'article_id': '3'}]",21,1,['02/2019/tt-btc']
2956,30a53324f2fa0ec2b6b95a3b08e19b37,Việc chuyển giao không bồi hoàn phần quyền sở hữu của Nhà nước được quy định như thế nào?,"[{'law_id': '70/2018/nđ-cp', 'article_id': '3'}]",19,1,['70/2018/nđ-cp']
2732,02f8b69ed2d05e37e9b2e9af1f30eacb,Cán bộ đi công tác cuối tuần có tính lương ngoài giờ không?,"[{'law_id': '40/2017/tt-btc', 'article_id': '3'}]",13,1,['40/2017/tt-btc']
2519,3ed053e4439dc9f523778646a280fea6,"Quản lý, bảo vệ mốc, bảng phân định ranh giới rừng được quy định như thế nào?","[{'law_id': '31/2018/tt-bnnptnt', 'article_id': '13'}]",17,1,['31/2018/tt-bnnptnt']
1018,bf6c4edfcb919140d57e91fbdf607d87,01 lần rút ngắn thời gian thử thách được bao nhiêu ngày?,"[{'law_id': '41/2019/qh14', 'article_id': '64'}]",12,1,['41/2019/qh14']
199,e41809a026e2118456a0df56ed1852ce,Thuế GTGT đối với doanh thu cung cấp dịch vụ viễn thông phân chia nội bộ cơ sở kinh doanh dịch vụ viễn thông được quy định như thế nào?,"[{'law_id': '35/2011/tt-btc', 'article_id': '7'}]",30,1,['35/2011/tt-btc']
2140,e53aef2c84b0473a1a8b8a2ab73f71c8,Mức phạt nếu điều khiển xe ô tô lắp thêm đèn,"[{'law_id': '100/2019/nđ-cp', 'article_id': '16'}]",11,1,['100/2019/nđ-cp']
2894,c1576055ec038964e41ff52cb5b0837a,"Mức phạt khi tự ý san, lấp mặt bằng trong phần đất dọc hai bên đường bộ dùng để quản lý, bảo trì, bảo vệ công trình đường bộ","[{'law_id': '100/2019/nđ-cp', 'article_id': '12'}]",29,1,['100/2019/nđ-cp']
